Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
27.12.2018,3075.71,3116.8,3116.8,2955,6.14K,-0.83%
26.12.2018,3101.35,2955.1,3150,2922.02,24.87K,5.57%
24.12.2018,2937.60,2963,2994,2922,9.86K,-2.07%
21.12.2018,2999.67,3137.45,3137.45,2990,26.91K,-3.84%
20.12.2018,3119.58,3215.67,3218.09,3100,21.66K,-3.82%
19.12.2018,3243.61,3302.5,3379.05,3218.39,18.32K,-2.10%
18.12.2018,3313.05,3331.4,3366.33,3307.01,11.61K,1.17%
17.12.2018,3274.85,3347.75,3383,3272.29,10.54K,-1.81%
14.12.2018,3335.09,3466,3466,3310.25,11.03K,-3.05%
13.12.2018,3440.01,3449.5,3489.2,3431.12,20.39K,0.55%
11.12.2018,3421.32,3467,3467,3387.84,7.59K,-0.72%
10.12.2018,3445.99,3368,3480,3346.01,7.89K,0.37%
07.12.2018,3433.21,3500,3521.49,3413.94,13.59K,-3.11%
06.12.2018,3543.50,3539,3569.18,3500,16.82K,-1.71%
05.12.2018,3605.00,3605,3605,3605,0.06K,-0.53%
04.12.2018,3624.35,3704.51,3731.64,3609.45,23.45K,-3.35%
03.12.2018,3750.00,3700,3761,3668.5,50.64K,2.79%
30.11.2018,3648.22,3638.94,3652.6,3610,30.07K,0.26%
29.11.2018,3638.94,3690,3690,3600,11.95K,-0.63%
28.11.2018,3661.95,3565,3662,3565,14.55K,2.74%
27.11.2018,3564.31,3510,3598.09,3495,12.19K,-0.27%
26.11.2018,3574.00,3588,3588,3505.01,10.68K,-0.40%
23.11.2018,3588.35,3565.01,3590,3510,13.52K,-0.32%
22.11.2018,3600.00,3585,3600,3585,0.03K,0.39%
21.11.2018,3586.05,3630,3646.95,3553.15,9.59K,-0.39%
20.11.2018,3600.16,3753.9,3753.9,3565.01,16.40K,-7.85%
16.11.2018,3907.05,3890,3939.99,3840,9.86K,0.64%
15.11.2018,3882.37,3862,3899.99,3818.76,12.80K,1.58%
14.11.2018,3822.15,3946.6,3952.43,3798,31.07K,-3.21%
13.11.2018,3949.11,3976.61,4040,3920.01,9.01K,-0.26%
12.11.2018,3959.42,4005,4005,3940.01,80.28K,-3.88%
09.11.2018,4119.33,4150,4164,4100,8.91K,-1.94%
08.11.2018,4200.96,4185.3,4221,4150,11.11K,0.97%
07.11.2018,4160.54,4070,4176,4068,49.63K,3.60%
06.11.2018,4015.97,4040,4058.29,3990.43,25.94K,0.18%
05.11.2018,4008.61,4111.11,4111.11,3963,56.93K,-10.21%
01.11.2018,4464.27,4461,4480,4345,27.86K,0.16%
31.10.2018,4457.05,4300,4495,4300,41.03K,4.48%
30.10.2018,4265.93,4200,4281.3,4194.69,37.64K,1.40%
29.10.2018,4207.20,4300,4330,4180,12.78K,0.60%
26.10.2018,4181.99,4224.9,4278.07,4150,10.41K,-2.51%
25.10.2018,4289.81,4269.45,4300.03,4248.41,6.52K,1.12%
24.10.2018,4242.22,4325,4330,4230.96,15.32K,-1.32%
23.10.2018,4299.12,4200,4329.99,4180,10.19K,-0.02%
22.10.2018,4300.00,4276.44,4329.99,4244,10.01K,1.94%
19.10.2018,4218.11,4190,4244.97,4164.5,5.14K,1.81%
18.10.2018,4143.00,4140,4173,4117.01,6.35K,-0.68%
17.10.2018,4171.45,4184.11,4189.99,4135,3.05K,-0.19%
16.10.2018,4179.25,4097.5,4184.11,4079.83,15.97K,1.88%
15.10.2018,4102.10,4196,4196,4087.46,7.73K,-2.25%
12.10.2018,4196.42,4136.44,4200,4116.32,12.14K,1.88%
11.10.2018,4118.92,4076.58,4200.9,4046,46.04K,-1.61%
10.10.2018,4186.35,4316.38,4316.38,4156.01,30.35K,-3.00%
09.10.2018,4316.01,4247.23,4317,4235.89,10.62K,1.66%
08.10.2018,4245.60,4200.26,4250.75,4180.06,10.12K,0.48%
05.10.2018,4225.27,4330,4330,4180,10.73K,-3.08%
04.10.2018,4359.65,4395.38,4400,4349,43.63K,-1.08%
03.10.2018,4407.31,4326,4416.04,4326,48.71K,2.18%
02.10.2018,4313.38,4266,4323.1,4266,10.22K,1.47%
01.10.2018,4251.00,4242.14,4272.88,4241,5.82K,0.93%
28.09.2018,4211.96,4221.93,4233.42,4200,7.31K,-0.51%
27.09.2018,4233.55,4202,4255.41,4202,24.49K,1.19%
26.09.2018,4183.76,4220,4235.48,4180,12.75K,-0.89%
25.09.2018,4221.30,4193,4239.98,4159.09,6.28K,0.88%
24.09.2018,4184.55,4086.11,4189.6,4070.01,5.01K,2.41%
21.09.2018,4086.11,4155,4174.29,4057.83,2.41K,-1.62%
20.09.2018,4153.53,4154,4181.81,4124.45,5.63K,0.71%
19.09.2018,4124.45,4137.18,4137.18,4049,26.52K,0.25%
18.09.2018,4114.33,4157.4,4166.73,4100.02,15.27K,0.06%
17.09.2018,4111.88,4239,4239,4092.6,4.64K,-2.82%
14.09.2018,4231.31,4230,4271.62,4205.02,10.28K,-0.80%
13.09.2018,4265.54,4202,4329.99,4202,11.14K,1.41%
12.09.2018,4206.13,4313.14,4379.99,4190,26.45K,-2.23%
11.09.2018,4302.24,4215,4337.28,4215,14.29K,2.22%
10.09.2018,4208.69,4260,4260,4182.02,19.53K,-1.89%
07.09.2018,4289.97,4319,4369.99,4285,3.83K,-0.26%
06.09.2018,4301.35,4405,4405,4278.5,4.12K,-1.68%
05.09.2018,4375.02,4440,4499.68,4375.01,9.45K,-1.37%
04.09.2018,4435.95,4400,4450,4399.99,77.33K,-0.84%
03.09.2018,4473.65,4345.01,4473.65,4345.01,0.23K,2.81%
31.08.2018,4351.29,4345,4399.99,4332.1,47.33K,1.04%
30.08.2018,4306.32,4246,4360,4246,9.73K,1.97%
29.08.2018,4222.98,4219,4236,4209,9.78K,1.02%
28.08.2018,4180.14,4108.95,4190,4108.95,5.33K,2.11%
27.08.2018,4093.60,4072,4100,4038,5.70K,0.17%
24.08.2018,4086.70,4090.7,4100,4058,1.51K,-0.10%
23.08.2018,4090.72,4079.99,4111.3,4063.5,5.46K,1.27%
22.08.2018,4039.30,4032,4074.8,4004.04,7.94K,-0.50%
21.08.2018,4059.66,4110.46,4110.46,4042,7.94K,-0.74%
20.08.2018,4090.01,4136.53,4150,4086,19.27K,-0.58%
17.08.2018,4113.81,4072,4149.99,4046.5,14.43K,1.35%
16.08.2018,4059.04,4017,4079.99,4017,18.34K,0.51%
15.08.2018,4038.55,4008.26,4044,4000,5.23K,1.98%
14.08.2018,3960.00,4028.51,4028.51,3939.01,18.52K,-1.21%
13.08.2018,4008.47,3955,4040.1,3955,8.40K,1.54%
10.08.2018,3947.58,3901,3955,3900.01,13.99K,1.01%
09.08.2018,3908.07,3839,3919.99,3839,20.48K,2.12%
08.08.2018,3826.95,3822,3831.99,3800,3.52K,0.13%
07.08.2018,3821.98,3868,3878,3801.11,7.19K,-1.19%
06.08.2018,3868.00,3866.5,3874.29,3845,14.56K,0.26%
03.08.2018,3858.13,3840,3884.58,3830.01,14.86K,-0.43%
02.08.2018,3874.63,3750,3890,3750,35.60K,3.45%
01.08.2018,3745.52,3705,3750,3635.01,39.34K,5.35%
31.07.2018,3555.23,3539.01,3575.99,3535,14.69K,1.29%
30.07.2018,3510.01,3544.99,3548,3509.4,15.04K,-1.13%
27.07.2018,3550.00,3630,3630,3544,4.70K,-1.22%
26.07.2018,3594.00,3630.01,3650,3591,8.09K,-1.15%
25.07.2018,3635.99,3619.5,3640,3604.66,2.38K,0.22%
24.07.2018,3627.91,3645,3681.56,3610,7.63K,0.08%
23.07.2018,3625.00,3640,3650,3604.99,3.20K,-0.34%
20.07.2018,3637.33,3690,3690,3620,7.94K,-1.69%
19.07.2018,3699.98,3658,3699.99,3630.01,8.23K,2.31%
18.07.2018,3616.54,3609.81,3620,3576,4.89K,0.46%
17.07.2018,3600.01,3578,3629.99,3578,1.81K,0.08%
16.07.2018,3597.00,3647.18,3647.18,3580.01,1.89K,-1.21%
13.07.2018,3640.94,3620,3644.99,3606.2,8.19K,1.14%
12.07.2018,3600.00,3582.99,3640,3560.01,9.09K,0.47%
11.07.2018,3582.99,3600,3600,3555,17.21K,-0.47%
10.07.2018,3600.00,3650,3660,3600,25.97K,-1.37%
09.07.2018,3649.92,3629,3665,3608.11,5.32K,1.39%
06.07.2018,3600.00,3551,3600,3549,6.06K,0.81%
05.07.2018,3571.11,3570,3600.01,3540.03,9.87K,-0.05%
04.07.2018,3573.00,3620.01,3620.01,3560,0.15K,-1.30%
03.07.2018,3620.01,3699.99,3699.99,3600,3.17K,-2.84%
02.07.2018,3725.85,3600,3782.78,3600,1.98K,1.07%
29.06.2018,3686.53,3659.97,3727.55,3650,13.58K,0.72%
28.06.2018,3660.00,3717,3717,3627.6,39.16K,-1.86%
27.06.2018,3729.27,3717,3767.83,3717,7.19K,1.23%
26.06.2018,3683.97,3669.22,3721,3657.3,98.30K,1.41%
25.06.2018,3632.82,3700,3737.11,3609.99,6.56K,-2.64%
22.06.2018,3731.49,3750,3786.91,3709,8.36K,-0.47%
21.06.2018,3749.00,3808.51,3829.97,3739.33,16.25K,-1.50%
20.06.2018,3805.94,3818,3849.99,3753.52,20.10K,-0.29%
19.06.2018,3817.15,3879,3879,3784,19.45K,-1.61%
18.06.2018,3879.64,3900,3934.99,3877.18,7.84K,-0.64%
15.06.2018,3904.68,3951,3951,3894.05,10.78K,-1.99%
14.06.2018,3983.98,3946.8,3997.99,3931,31.47K,0.82%
13.06.2018,3951.55,3974.25,3989.99,3940.02,5.72K,-0.49%
12.06.2018,3971.04,3997.99,3997.99,3930,6.06K,0.96%
11.06.2018,3933.34,3885.11,3939,3885.11,7.91K,1.24%
08.06.2018,3885.21,3900,3924.99,3885,19.06K,-2.29%
07.06.2018,3976.28,3949.99,3980,3943,18.85K,1.03%
06.06.2018,3935.59,3926.2,3937,3901.22,14.30K,-0.48%
05.06.2018,3954.50,3900,3959.99,3900,5.84K,2.95%
04.06.2018,3841.00,3849.99,3866,3830,10.76K,1.56%
01.06.2018,3781.89,3730.67,3790.99,3730.67,7.33K,1.37%
31.05.2018,3730.67,3750,3758.76,3720.01,10.22K,0.34%
30.05.2018,3717.99,3699.66,3729.88,3680,1.66K,-0.29%
29.05.2018,3728.82,3690,3735,3690,5.99K,1.74%
28.05.2018,3665.00,3680,3680,3665,0.03K,-0.54%
25.05.2018,3685.00,3682,3724.99,3677,4.88K,-0.52%
24.05.2018,3704.21,3680,3714.99,3677.51,2.73K,0.69%
23.05.2018,3679.00,3680,3690,3646.68,2.81K,-0.71%
22.05.2018,3705.48,3725,3725,3685,7.48K,-0.39%
21.05.2018,3720.00,3746.1,3773.99,3712,6.91K,0.16%
18.05.2018,3713.92,3712.5,3746.09,3712,2.37K,0.57%
17.05.2018,3693.00,3697.4,3725,3675,3.99K,0.30%
16.05.2018,3682.00,3654.2,3709.99,3654.2,12.04K,0.56%
15.05.2018,3661.46,3710,3710,3620.01,5.98K,-1.04%
